time,a,b,C,t,a_after,b_after
377,170,35,,377,170,35
378,170,35,,378,170,35
379,170,35,,379,170,35
380,170,35,,380,170,35
381,169.8,35,,381,169.8,35
382,169.6,35,,382,169.6,35
383,169.8,35,,383,169.8,35
384,170,35,,384,170,35
385,170.2,35,,385,170.2,35
386,169.2,35,,386,169.2,35
387,169,34.96,,387,169,34.96
388,169,35,,388,169,35
389,169,35,,389,169,35
390,169.3,34.98,,390,169.3,34.98
391,169.4,35,,391,169.4,35
392,169.2,35,,392,169.2,35
393,169.9,35,,393,169.9,35
394,169.3,35,,394,169.3,35
395,169.4,35,,395,169.4,35
396,168.9,35,,396,168.9,35
397,169,35,,397,169,35
398,169,35,,398,169,35
399,169.9,35,,399,169.9,35
400,169.3,35,,400,169.3,35
401,169,35,,401,169,35
402,170.3,35,,402,170.3,35
403,170,35,,403,170,35
404,168.7,35,,404,168.7,35
405,168.6,35,,405,168.6,35
406,168.5,35,,406,168.5,35
407,168,35,,407,168,35
408,168,35,,408,168,35
409,168.9,35,,409,168.9,35
410,167.4,35,,410,167.4,35
411,167.7,35,,411,167.7,35
412,168,35,,412,168,35
413,168.3,35,,413,168.3,35
414,167.9,35,,414,167.9,35
415,168.1,35,,415,168.1,35
416,168,35,,416,168,35
417,168,35,,417,168,35
418,168.9,35,,418,168.9,35
419,169,35,,419,169,35
420,168,35,,420,168,35
421,168,34.98,,421,168,34.98
422,167.8,35,,422,167.8,35
423,167.9,35,,423,167.9,35
424,168.3,35,,424,168.3,35
425,168,35,,425,168,35
426,168,35,,426,168,35
427,167.6,35,,427,167.6,35
428,168,35,,428,168,35
429,168.5,35,,429,168.5,35
430,167,35,,430,167,35
431,166.7,35,,431,166.7,35
432,168,35,,432,168,35
433,167.8,35,,433,167.8,35
434,168,35,,434,168,35
435,168,35,,435,168,35
436,168,35,,436,168,35
437,167.1,35,,437,167.1,35
438,168.1,35,,438,168.1,35
439,167.8,35,,439,167.8,35
440,168.3,35,,440,168.3,35
441,168,35,,441,168,35
442,168.8,35,,442,168.8,35
443,167.5,35,,443,167.5,35
444,168,35,,444,168,35
445,168,35,,445,168,35
446,168.5,35,,446,168.5,35
447,169.1,35,,447,169.1,35
448,168.6,35,,448,168.6,35
449,168,35,,449,168,35
450,168.4,35,,450,168.4,35
451,168,35,,451,168,35
452,168.1,35,,452,168.1,35
453,168,35,,453,168,35
454,168,35,,454,168,35
455,168.8,35,,455,168.8,35
456,169,35,,456,169,35
457,169.3,35,,457,169.3,35
458,169.9,35,,458,169.9,35
459,168.9,35,,459,168.9,35
460,170.1,35,,460,170.1,35
461,169.6,35,,461,169.6,35
462,170,35,,462,170,35
463,170,35,,463,170,35
464,170,35,,464,170,35
465,168,35,,465,168,35
466,168,35,,466,168,35
467,167.9,35,,467,167.9,35
468,168.7,35,,468,168.7,35
469,169,35,,469,169,35
470,169.2,35,,470,169.2,35
471,169.4,35,,471,169.4,35
472,169,35,,472,169,35
473,169,35,,473,169,35
474,168.4,35,,474,168.4,35
475,169,35,,475,169,35
476,169.2,35,,476,169.2,35
477,169.3,35,,477,169.3,35
478,169,35,,478,169,35
479,168.9,35,,479,168.9,35
480,169,35,,480,169,35
481,168.9,34.98,,481,168.9,34.98
482,169,35,,482,169,35
483,168.7,35,,483,168.7,35
484,169.4,35,,484,169.4,35
485,168.4,35,,485,168.4,35
486,168.5,35,,486,168.5,35
487,168,35,,487,168,35
488,170.4,35,,488,170.4,35
489,170.2,35,,489,170.2,35
490,169.8,35,,490,169.8,35
491,170,35,,491,170,35
492,170,35,,492,170,35
493,168.8,35,,493,168.8,35
494,168.7,35,,494,168.7,35
495,169.3,35,,495,169.3,35
496,170.2,35,,496,170.2,35
497,169.7,35,,497,169.7,35
498,169.4,35,,498,169.4,35
499,169,35,,499,169,35
500,169,35,,500,169,35
501,169,35,,501,169,35
502,169.2,35,,502,169.2,35
503,168.9,35,,503,168.9,35
504,169,35,,504,169,35
505,169.4,35,,505,169.4,35
506,169,35,,506,169,35
507,169.6,35,,507,169.6,35
508,169.5,35,,508,169.5,35
509,170,35,,509,170,35
510,170,35,,510,170,35
511,168.9,35,,511,168.9,35
512,168.7,35,,512,168.7,35
513,169,35,,513,169,35
514,168.3,35,,514,168.3,35
